#16:10
R16,8,5,40
R16,16,10,160
R16,24,15,360
R16,32,20,640
R16,40,25,1000
R16,48,30,1440
R16,56,35,1960
R16,64,40,2560
R16,72,45,3240
R16,80,50,4000
R16,88,55,4840
R16,96,60,5760
R16,104,65,6760
R16,112,70,7840
R16,120,75,9000
R16,128,80,10240
#4:3		
R4,4,3,12
R4,8,6,48
R4,12,9,108
R4,16,12,192
R4,20,15,300
R4,24,18,432
R4,28,21,588
R4,32,24,768
R4,36,27,972
R4,40,30,1200
R4,44,33,1452
R4,48,36,1728
R4,52,39,2028
R4,56,42,2352
R4,60,45,2700
R4,64,48,3072
#fixed numbers - no specific ratio		
RN,5,4,20
RN,10,5,50
RN,10,10,100
RN,20,10,200
RN,25,20,500
RN,40,25,1000
